"Fecha","Cierre","Apertura","Máximo","Mínimo","Vol.","% var."
"01.09.2025","1,466.0189","1,341.0000","1,469.6000","1,341.0000","","8.84%"
"01.08.2025","1,347.0000","1,348.5000","1,372.2450","1,287.5000","","-1.79%"
"01.07.2025","1,371.5000","1,195.0000","1,374.0000","1,189.5050","","13.86%"
"01.06.2025","1,204.5000","1,187.5000","1,204.5000","1,140.7500","","1.30%"
"01.05.2025","1,189.0000","1,172.7500","1,207.5000","1,097.5000","","1.39%"
"01.04.2025","1,172.7500","1,073.0000","1,207.0000","1,059.5000","","9.28%"
"01.03.2025","1,073.1250","1,063.7000","1,073.1250","1,063.2500","","0.88%"
"01.02.2025","1,063.7500","1,053.5000","1,063.8750","1,053.1250","","1.21%"
"01.01.2025","1,051.0000","1,031.0000","1,052.0000","1,030.9000","","2.04%"
"01.12.2024","1,030.0000","1,010.5000","1,031.2500","1,010.5000","","1.98%"
"01.11.2024","1,010.0000","990.0000","1,010.5000","989.7500","","2.02%"
"01.10.2024","990.0000","970.5000","990.2500","969.7500","","2.22%"
"01.09.2024","968.5000","953.0000","970.4950","952.7500","","1.89%"
"01.08.2024","950.5000","932.0000","951.2400","931.5000","","2.15%"
"01.07.2024","930.5000","913.7500","932.2500","912.0000","","2.14%"
"01.06.2024","911.0000","897.0000","912.2450","895.2400","","1.73%"
"01.05.2024","895.5000","876.2250","895.7500","876.2250","","2.17%"
"01.04.2024","876.5000","857.5050","876.8700","857.5050","","2.22%"
"01.03.2024","857.4900","842.6500","857.7500","842.5800","","1.80%"
"01.02.2024","842.3000","826.6000","842.3700","826.5750","","1.94%"
"01.01.2024","826.3000","810.6500","826.3500","810.6250","","2.21%"
"01.12.2023","808.4500","360.5750","808.5000","360.5750","","124.29%"
"01.11.2023","360.4500","350.0250","360.5850","349.7950","","3.00%"
"01.10.2023","349.9500","350.0250","350.1000","349.7650","","-0.01%"
"01.09.2023","350.0000","350.0250","350.0900","349.7100","","0.01%"
"01.08.2023","349.9500","275.9500","350.0550","275.2750","","27.14%"
"01.07.2023","275.2500","258.5000","275.2850","257.8750","","7.23%"
"01.06.2023","256.7000","239.3650","256.7850","239.3450","","7.20%"
"01.05.2023","239.4700","222.5400","239.4850","222.5300","","7.56%"
"01.04.2023","222.6400","208.9000","222.6550","208.9000","","6.54%"
"01.03.2023","208.9800","197.5600","209.0050","197.1550","","6.00%"
"01.02.2023","197.1500","186.9000","197.2150","186.8950","","5.44%"
"01.01.2023","186.9800","177.6450","186.9900","177.6450","","5.79%"
"01.12.2022","176.7400","167.2200","177.1400","167.1850","","5.66%"
"01.11.2022","167.2800","156.8200","167.3500","156.8200","","6.62%"
"01.10.2022","156.8900","147.2500","156.9050","147.2500","","6.50%"
"01.09.2022","147.3100","138.6600","147.3350","138.6600","","6.19%"
"01.08.2022","138.7200","131.2000","138.7650","131.2000","","5.68%"
"01.07.2022","131.2600","125.4050","131.2950","125.3950","","4.83%"
"01.06.2022","125.2100","120.1400","125.2300","120.1400","","4.18%"
"01.05.2022","120.1900","115.2650","120.1950","115.2650","","4.23%"
"01.04.2022","115.3100","110.9550","115.3350","110.9550","","3.88%"
"01.03.2022","111.0000","107.4000","111.0700","107.3650","","3.36%"
"01.02.2022","107.3900","105.0723","107.4650","104.9800","","2.28%"
"01.01.2022","105.0000","103.0500","105.0400","102.6900","","2.26%"
"01.12.2021","102.6800","100.9400","102.7650","100.8900","","1.73%"
"01.11.2021","100.9300","99.6410","100.9750","99.6410","","1.31%"
"01.10.2021","99.6200","98.6515","99.7450","98.6515","","0.90%"
"01.09.2021","98.7300","97.6575","98.7650","97.6560","","1.01%"
"01.08.2021","97.7400","96.5750","97.7850","96.5700","","1.10%"
"01.07.2021","96.6800","95.6390","96.7200","95.6175","","1.02%"
"01.06.2021","95.7000","94.6185","95.7500","94.5750","","1.28%"
"01.05.2021","94.4900","93.4805","94.7040","93.2700","","1.21%"
"01.04.2021","93.3630","91.8910","93.6250","91.4250","","1.50%"
"01.03.2021","91.9800","89.7425","92.0850","89.7335","","2.40%"
"01.02.2021","89.8200","87.4505","89.8340","87.2641","","2.89%"
"01.01.2021","87.3000","84.0875","87.3300","84.0705","","3.83%"
"01.12.2020","84.0800","81.3050","84.1710","81.2220","","3.42%"
"01.11.2020","81.3000","78.2140","81.5750","78.1935","","3.80%"
"01.10.2020","78.3200","76.1800","78.3570","76.0690","","2.82%"
"01.09.2020","76.1700","74.1310","76.1800","74.1310","","2.90%"
"01.08.2020","74.0220","72.2495","74.1975","72.1900","","2.37%"
"01.07.2020","72.3100","70.4600","72.3230","70.3895","","2.85%"
"01.06.2020","70.3090","68.4785","70.4700","68.4345","","2.81%"
"01.05.2020","68.3890","66.7720","68.5470","66.0300","","2.42%"
"01.04.2020","66.7700","64.3500","66.8505","64.1600","","4.00%"
"01.03.2020","64.2040","62.1250","64.5638","62.0990","","3.35%"
"01.02.2020","62.1200","59.9880","62.3438","59.9880","","3.07%"
"01.01.2020","60.2700","59.8190","60.3665","59.6245","","0.68%"
"01.12.2019","59.8600","59.8410","60.2425","59.5840","","-0.08%"
"01.11.2019","59.9100","59.5685","59.9650","59.3890","","0.59%"
"01.10.2019","59.5600","57.5850","63.5166","57.4925","","3.42%"
"01.09.2019","57.5900","59.5000","60.5000","53.7373","","-3.20%"
"01.08.2019","59.4955","43.8185","63.5127","43.8185","","35.79%"
"01.07.2019","43.8155","42.4715","43.9695","41.4700","","3.17%"
"01.06.2019","42.4700","44.7500","45.1762","42.0975","","-4.96%"
"01.05.2019","44.6850","44.2800","45.8650","44.1800","","1.00%"
"01.04.2019","44.2420","43.3575","46.5050","41.2750","","2.22%"
"01.03.2019","43.2810","39.1195","43.9650","39.0850","","10.72%"
"01.02.2019","39.0910","37.3010","40.7250","36.8450","","4.89%"
"01.01.2019","37.2690","37.6550","38.3100","36.7000","","-0.93%"
"01.12.2018","37.6190","37.2750","38.8250","36.3250","","-0.23%"
"01.11.2018","37.7060","35.8915","39.3000","35.1750","","5.06%"
"01.10.2018","35.8900","41.3250","41.3400","35.4100","","-13.06%"
"01.09.2018","41.2800","37.2500","41.7500","36.1027","","12.17%"
"01.08.2018","36.8000","27.6000","41.7500","27.0800","","34.36%"
"01.07.2018","27.3890","28.9365","29.0400","27.0200","","-5.17%"
"01.06.2018","28.8810","24.9610","29.6900","24.8375","","15.80%"
"01.05.2018","24.9410","20.5150","25.0350","20.5150","","21.59%"
"01.04.2018","20.5130","20.1150","20.9350","20.0775","","2.00%"
"01.03.2018","20.1100","20.1950","20.4500","20.0750","","0.00%"
"01.02.2018","20.1100","19.5650","20.2800","19.3300","","2.45%"
"01.01.2018","19.6300","18.6400","19.7100","18.3250","","5.57%"
"01.12.2017","18.5940","17.3050","19.1800","17.1900","","7.48%"
"01.11.2017","17.3000","17.6350","17.7200","17.2750","","-1.87%"
"01.10.2017","17.6300","17.2875","17.7800","17.2350","","1.97%"
"01.09.2017","17.2890","17.2800","17.6850","16.9545","","-0.18%"
"01.08.2017","17.3200","17.6500","17.8550","17.0070","","-1.81%"
"01.07.2017","17.6400","16.7650","17.8025","16.7450","","6.23%"
"01.06.2017","16.6060","16.0950","16.6575","15.8250","","3.29%"
"01.05.2017","16.0770","15.3885","16.1898","15.2250","","4.57%"
"01.04.2017","15.3750","15.3805","15.5200","15.1225","","0.05%"
"01.03.2017","15.3670","15.4700","15.7505","15.3200","","-0.67%"
"01.02.2017","15.4700","15.9050","15.9055","15.3300","","-2.69%"
"01.01.2017","15.8970","15.8775","16.1375","15.7350","","0.27%"